Post_ID,Platform,Post_Date,Post_Time,Post_Type,Content_Theme,Caption,Hashtags,Impressions,Reach,Likes,Comments,Shares,Saves,Profile_Visits,Link_Clicks,Followers_Before,Followers_After,Campaign_Name
P16,Facebook,2024-04-11,11:16,Text,Product Launch,Sample social media post caption 16,#marketing #socialmedia #AI,90501,74798,1024,213,189,483,1183,130,83760,83856,Brand Awareness
P17,Instagram,2025-04-13,06:49,Video,Motivational,Sample social media post caption 17,#marketing #socialmedia #AI,20009,51245,2448,323,279,13,762,919,44389,44585,Summer Campaign
P18,LinkedIn,2024-12-11,17:13,Video,Promotional,Sample social media post caption 18,#marketing #socialmedia #AI,20005,7995,1333,19,96,418,1355,972,64543,64567,Lead Generation
P19,Facebook,2025-12-18,13:21,Carousel,Promotional,Sample social media post caption 19,#marketing #socialmedia #AI,67753,77216,2424,27,66,398,1562,792,2662,2791,Engagement Drive
P20,LinkedIn,2024-10-18,13:53,Image,Educational,Sample social media post caption 20,#marketing #socialmedia #AI,23656,79700,3583,124,160,383,591,186,98474,98654,Summer Campaign
P21,Facebook,2025-10-09,23:22,Reel,Educational,Sample social media post caption 21,#marketing #socialmedia #AI,24950,72425,4287,21,1,265,861,78,65029,65026,Brand Awareness
P22,YouTube,2024-08-23,17:53,Carousel,Product Launch,Sample social media post caption 22,#marketing #socialmedia #AI,36194,57168,3796,29,37,97,457,173,72982,73013,Organic
P23,LinkedIn,2024-02-28,06:05,Reel,Educational,Sample social media post caption 23,#marketing #socialmedia #AI,9196,43979,226,266,218,343,1220,379,81431,81545,Brand Awareness
P24,LinkedIn,2024-07-08,14:14,Video,Motivational,Sample social media post caption 24,#marketing #socialmedia #AI,47046,51986,1460,487,205,437,1935,195,21363,21425,Brand Awareness
P25,YouTube,2025-02-24,03:47,Image,Product Launch,Sample social media post caption 25,#marketing #socialmedia #AI,64941,856,2353,225,271,109,30,203,30624,30768,Lead Generation
P26,Facebook,2025-10-08,01:49,Video,Educational,Sample social media post caption 26,#marketing #socialmedia #AI,26875,26136,1098,414,45,298,644,170,39732,39829,Organic
P27,Facebook,2024-05-21,18:12,Image,Promotional,Sample social media post caption 27,#marketing #socialmedia #AI,35230,67654,1225,135,97,423,344,522,32725,32925,Organic
P28,Instagram,2025-03-10,07:42,Text,Promotional,Sample social media post caption 28,#marketing #socialmedia #AI,11126,4586,1976,135,297,457,563,676,26921,26973,Lead Generation
P29,Facebook,2025-06-22,11:44,Image,Promotional,Sample social media post caption 29,#marketing #socialmedia #AI,44348,35429,191,52,207,361,872,811,2529,2526,Lead Generation
P30,Facebook,2024-04-08,16:48,Carousel,Educational,Sample social media post caption 30,#marketing #socialmedia #AI,56078,16587,3847,6,137,207,1072,927,61916,61934,Brand Awareness
P31,Facebook,2024-12-16,00:26,Reel,Product Launch,Sample social media post caption 31,#marketing #socialmedia #AI,56137,6806,302,377,187,65,1293,61,94150,94306,Lead Generation
P32,Instagram,2025-07-17,16:58,Video,Product Launch,Sample social media post caption 32,#marketing #socialmedia #AI,13058,71671,2772,63,175,406,538,998,53188,53286,Summer Campaign
P33,Instagram,2024-12-07,08:21,Video,Product Launch,Sample social media post caption 33,#marketing #socialmedia #AI,65580,71222,3499,107,123,172,948,562,15304,15501,Summer Campaign
P34,YouTube,2025-11-15,05:32,Reel,Industry News,Sample social media post caption 34,#marketing #socialmedia #AI,23816,22172,3576,8,63,237,1124,781,31277,31319,Lead Generation
P35,YouTube,2024-08-07,05:45,Carousel,Motivational,Sample social media post caption 35,#marketing #socialmedia #AI,80979,24803,2649,94,151,255,437,570,73933,74061,Summer Campaign
P36,Instagram,2025-01-02,11:26,Reel,Educational,Sample social media post caption 36,#marketing #socialmedia #AI,93107,39015,138,283,151,150,1333,59,69952,70026,Organic
P37,Instagram,2025-08-13,04:14,Carousel,Product Launch,Sample social media post caption 37,#marketing #socialmedia #AI,39205,36159,761,457,134,77,1908,377,47303,47495,Organic
P38,Facebook,2025-12-31,21:44,Video,Industry News,Sample social media post caption 38,#marketing #socialmedia #AI,95172,22101,3756,237,116,333,316,821,39294,39489,Lead Generation
P39,Facebook,2025-10-11,01:44,Carousel,Industry News,Sample social media post caption 39,#marketing #socialmedia #AI,39939,56613,606,353,132,220,1808,448,73102,73294,Organic
P40,Facebook,2025-09-25,00:09,Image,Industry News,Sample social media post caption 40,#marketing #socialmedia #AI,42199,76733,2346,492,125,390,1670,846,4142,4235,Summer Campaign
P41,Instagram,2025-12-05,11:33,Text,Promotional,Sample social media post caption 41,#marketing #socialmedia #AI,8147,70780,4563,145,139,315,642,49,35468,35620,Engagement Drive
P42,YouTube,2025-10-17,02:37,Video,Motivational,Sample social media post caption 42,#marketing #socialmedia #AI,35236,69113,2434,463,232,44,461,246,68568,68689,Brand Awareness
P43,Facebook,2024-01-25,00:54,Reel,Industry News,Sample social media post caption 43,#marketing #socialmedia #AI,49026,46774,732,407,65,190,1807,292,28467,28489,Summer Campaign
P44,YouTube,2024-02-21,19:11,Reel,Educational,Sample social media post caption 44,#marketing #socialmedia #AI,3272,58235,4415,433,135,195,779,0,52067,52085,Brand Awareness
P45,Facebook,2024-06-01,10:18,Text,Industry News,Sample social media post caption 45,#marketing #socialmedia #AI,71958,31187,3037,359,239,392,508,395,84526,84622,Brand Awareness
P46,YouTube,2024-09-02,01:23,Image,Motivational,Sample social media post caption 46,#marketing #socialmedia #AI,39275,8302,434,173,79,372,1696,56,62809,62936,Organic
P47,YouTube,2025-01-24,00:25,Text,Educational,Sample social media post caption 47,#marketing #socialmedia #AI,94345,56464,190,40,247,226,1929,860,45068,45162,Lead Generation
P48,LinkedIn,2024-01-04,14:12,Carousel,Motivational,Sample social media post caption 48,#marketing #socialmedia #AI,62466,25822,752,429,211,58,1957,570,75128,75301,Organic
P49,LinkedIn,2025-11-10,10:44,Carousel,Promotional,Sample social media post caption 49,#marketing #socialmedia #AI,22388,47619,567,11,209,222,1260,67,27622,27609,Organic
P50,Instagram,2025-01-25,00:57,Text,Motivational,Sample social media post caption 50,#marketing #socialmedia #AI,18563,27711,1272,132,290,141,765,240,16424,16432,Lead Generation
P51,YouTube,2024-12-27,10:35,Carousel,Industry News,Sample social media post caption 51,#marketing #socialmedia #AI,62041,6997,4871,289,255,181,380,505,39801,39829,Brand Awareness
P52,LinkedIn,2024-05-24,04:28,Carousel,Promotional,Sample social media post caption 52,#marketing #socialmedia #AI,44863,12880,3837,57,166,293,1817,194,22340,22527,Lead Generation
P53,Facebook,2025-12-01,22:28,Image,Product Launch,Sample social media post caption 53,#marketing #socialmedia #AI,20063,33370,3544,55,77,152,587,503,89961,90147,Organic
P54,Facebook,2025-08-31,03:20,Video,Promotional,Sample social media post caption 54,#marketing #socialmedia #AI,18816,60009,1981,105,150,115,174,486,79773,79833,Lead Generation
P55,Instagram,2024-05-24,22:00,Text,Promotional,Sample social media post caption 55,#marketing #socialmedia #AI,81072,75920,2616,170,101,439,791,792,17085,17088,Summer Campaign
P56,YouTube,2024-09-12,13:48,Carousel,Motivational,Sample social media post caption 56,#marketing #socialmedia #AI,63335,22353,1057,244,143,106,959,74,56915,57103,Engagement Drive
P57,Facebook,2024-11-05,13:28,Carousel,Product Launch,Sample social media post caption 57,#marketing #socialmedia #AI,46008,24298,4206,150,274,441,1591,265,21861,22013,Brand Awareness
P58,YouTube,2025-02-01,20:22,Video,Educational,Sample social media post caption 58,#marketing #socialmedia #AI,48261,1430,3652,5,158,402,1717,368,55150,55175,Brand Awareness
P59,YouTube,2024-10-12,18:00,Text,Industry News,Sample social media post caption 59,#marketing #socialmedia #AI,45828,56527,4586,156,55,76,1270,67,87266,87368,Summer Campaign
P60,Instagram,2024-03-24,11:30,Reel,Educational,Sample social media post caption 60,#marketing #socialmedia #AI,85777,53188,90,284,270,53,708,552,78085,78186,Brand Awareness
P61,LinkedIn,2025-09-19,15:35,Image,Promotional,Sample social media post caption 61,#marketing #socialmedia #AI,89600,2160,226,376,81,454,237,553,92761,92899,Brand Awareness
P62,Instagram,2025-08-13,06:34,Reel,Educational,Sample social media post caption 62,#marketing #socialmedia #AI,87077,62914,1304,219,35,49,1927,611,66018,66156,Engagement Drive
P63,YouTube,2025-03-14,13:17,Carousel,Product Launch,Sample social media post caption 63,#marketing #socialmedia #AI,67476,39919,4733,320,168,410,1865,141,95539,95646,Summer Campaign
P64,YouTube,2024-05-07,07:58,Reel,Product Launch,Sample social media post caption 64,#marketing #socialmedia #AI,80432,72385,1945,412,130,102,786,371,86914,86958,Engagement Drive
P65,YouTube,2024-09-21,20:28,Reel,Promotional,Sample social media post caption 65,#marketing #socialmedia #AI,37765,62140,4363,389,262,198,295,950,51201,51329,Organic
P66,YouTube,2024-09-29,02:04,Reel,Motivational,Sample social media post caption 66,#marketing #socialmedia #AI,55060,61873,1025,139,228,96,1499,999,58813,58936,Organic
P67,LinkedIn,2024-09-02,11:54,Carousel,Motivational,Sample social media post caption 67,#marketing #socialmedia #AI,58608,67424,4604,167,298,381,1988,464,84573,84712,Brand Awareness
P68,Facebook,2025-03-02,09:21,Video,Motivational,Sample social media post caption 68,#marketing #socialmedia #AI,73551,46578,1003,246,71,28,1380,143,65134,65153,Organic
P69,YouTube,2025-10-16,10:41,Text,Motivational,Sample social media post caption 69,#marketing #socialmedia #AI,75957,12819,3369,278,225,441,237,50,54303,54288,Engagement Drive
P70,Facebook,2024-05-26,00:32,Video,Industry News,Sample social media post caption 70,#marketing #socialmedia #AI,28572,45542,4331,78,82,19,1203,352,57494,57575,Lead Generation
P71,YouTube,2025-02-05,01:12,Image,Educational,Sample social media post caption 71,#marketing #socialmedia #AI,57232,17311,1252,212,208,339,213,963,20178,20158,Summer Campaign
P72,LinkedIn,2025-12-02,01:45,Text,Motivational,Sample social media post caption 72,#marketing #socialmedia #AI,96841,66134,4307,110,106,51,400,587,80055,80136,Engagement Drive
P73,YouTube,2025-10-30,13:01,Carousel,Educational,Sample social media post caption 73,#marketing #socialmedia #AI,62315,62738,3207,478,47,498,1205,312,22862,23032,Lead Generation
P74,YouTube,2025-04-09,22:31,Text,Educational,Sample social media post caption 74,#marketing #socialmedia #AI,74078,15877,4769,145,291,443,220,335,84780,84768,Organic
P75,LinkedIn,2025-03-23,15:36,Image,Industry News,Sample social media post caption 75,#marketing #socialmedia #AI,7362,47077,570,488,265,104,1344,406,88974,89109,Summer Campaign
P76,YouTube,2024-12-17,23:00,Carousel,Product Launch,Sample social media post caption 76,#marketing #socialmedia #AI,6487,12427,355,285,79,480,1881,535,49822,49985,Brand Awareness
P77,Instagram,2025-06-10,11:17,Text,Educational,Sample social media post caption 77,#marketing #socialmedia #AI,48021,53183,4542,224,112,266,1509,751,77918,78059,Engagement Drive
P78,Facebook,2024-12-21,15:17,Video,Product Launch,Sample social media post caption 78,#marketing #socialmedia #AI,35364,30838,1280,388,21,190,519,968,33553,33723,Brand Awareness
P79,Facebook,2024-07-12,03:23,Image,Promotional,Sample social media post caption 79,#marketing #socialmedia #AI,80244,36684,3716,341,3,495,745,908,45230,45244,Lead Generation
P80,LinkedIn,2025-10-19,04:56,Text,Industry News,Sample social media post caption 80,#marketing #socialmedia #AI,87819,4725,1436,275,183,99,89,272,54339,54532,Summer Campaign
P81,LinkedIn,2024-12-03,04:01,Reel,Educational,Sample social media post caption 81,#marketing #socialmedia #AI,82979,74163,3539,445,178,158,1596,288,35081,35109,Organic
P82,YouTube,2025-04-13,03:14,Reel,Educational,Sample social media post caption 82,#marketing #socialmedia #AI,37003,22815,4047,147,236,209,1819,225,40944,41128,Lead Generation
P83,YouTube,2025-11-11,22:54,Reel,Motivational,Sample social media post caption 83,#marketing #socialmedia #AI,68360,15827,1449,88,239,27,1471,856,62672,62688,Brand Awareness
P84,YouTube,2024-07-26,22:18,Text,Educational,Sample social media post caption 84,#marketing #socialmedia #AI,72015,23918,4408,56,117,227,78,370,88693,88852,Lead Generation
P85,Instagram,2025-09-05,14:50,Carousel,Educational,Sample social media post caption 85,#marketing #socialmedia #AI,92339,1120,1660,379,48,385,1279,490,79986,80146,Brand Awareness
P86,Facebook,2025-09-07,11:07,Text,Educational,Sample social media post caption 86,#marketing #socialmedia #AI,97321,43045,1710,273,278,297,764,103,61801,61966,Organic
P87,Facebook,2025-06-01,17:06,Image,Promotional,Sample social media post caption 87,#marketing #socialmedia #AI,9098,31261,977,263,31,250,633,882,14908,14916,Lead Generation
P88,Facebook,2024-04-05,21:38,Image,Industry News,Sample social media post caption 88,#marketing #socialmedia #AI,64012,53962,4404,400,61,45,573,787,96197,96213,Engagement Drive
P89,YouTube,2025-06-02,16:59,Text,Motivational,Sample social media post caption 89,#marketing #socialmedia #AI,8030,6881,4908,405,158,365,21,475,73482,73616,Organic
P90,Instagram,2025-09-25,04:40,Carousel,Educational,Sample social media post caption 90,#marketing #socialmedia #AI,6240,10239,623,120,2,478,987,952,95025,95040,Brand Awareness
P91,Facebook,2025-12-08,00:25,Carousel,Educational,Sample social media post caption 91,#marketing #socialmedia #AI,13975,45867,3973,103,134,58,1437,355,13004,12990,Organic
P92,LinkedIn,2024-12-19,21:52,Carousel,Motivational,Sample social media post caption 92,#marketing #socialmedia #AI,6950,30182,3868,284,269,147,1609,219,96791,96904,Summer Campaign
P93,YouTube,2025-09-30,17:24,Image,Motivational,Sample social media post caption 93,#marketing #socialmedia #AI,22683,75355,1198,273,224,277,978,12,93985,94042,Summer Campaign
P94,Facebook,2024-08-13,07:40,Video,Promotional,Sample social media post caption 94,#marketing #socialmedia #AI,90319,10298,2362,214,96,239,548,808,25409,25527,Summer Campaign
P95,Instagram,2025-09-25,05:11,Text,Promotional,Sample social media post caption 95,#marketing #socialmedia #AI,50906,39043,2455,187,145,403,1989,378,68490,68588,Engagement Drive
P96,Instagram,2025-04-05,11:45,Carousel,Product Launch,Sample social media post caption 96,#marketing #socialmedia #AI,25309,7892,3113,499,114,403,1445,30,71060,71181,Lead Generation
P97,Facebook,2024-12-15,03:20,Reel,Motivational,Sample social media post caption 97,#marketing #socialmedia #AI,51579,10235,1799,453,151,335,965,374,36280,36289,Brand Awareness
P98,YouTube,2025-04-21,04:49,Text,Motivational,Sample social media post caption 98,#marketing #socialmedia #AI,41449,50700,1403,252,289,23,1500,340,67542,67597,Organic
P99,LinkedIn,2025-12-17,10:25,Carousel,Motivational,Sample social media post caption 99,#marketing #socialmedia #AI,41008,32481,3944,411,111,469,1796,981,43636,43715,Organic
P100,Facebook,2025-08-21,12:21,Image,Promotional,Sample social media post caption 100,#marketing #socialmedia #AI,51091,37719,4413,292,284,341,614,940,52216,52294,Engagement Drive
P101,Instagram,2024-04-10,15:09,Reel,Educational,Sample social media post caption 101,#marketing #socialmedia #AI,49177,60641,4015,495,133,58,948,389,21002,21058,Engagement Drive
P102,Facebook,2025-09-08,06:48,Reel,Educational,Sample social media post caption 102,#marketing #socialmedia #AI,96674,36722,2797,378,265,397,1681,379,89199,89218,Organic
P103,YouTube,2025-05-10,19:04,Video,Motivational,Sample social media post caption 103,#marketing #socialmedia #AI,56588,74804,2460,149,121,112,1588,810,2300,2358,Lead Generation
P104,Facebook,2025-08-12,23:17,Video,Product Launch,Sample social media post caption 104,#marketing #socialmedia #AI,63638,22032,702,307,229,300,21,101,52003,52108,Engagement Drive
P105,LinkedIn,2024-09-11,08:45,Reel,Educational,Sample social media post caption 105,#marketing #socialmedia #AI,10620,13080,3458,75,170,415,1106,16,63209,63338,Summer Campaign
P106,LinkedIn,2024-02-22,11:20,Text,Motivational,Sample social media post caption 106,#marketing #socialmedia #AI,23963,72113,2865,81,104,132,177,597,3685,3741,Brand Awareness
P107,YouTube,2024-05-31,09:54,Text,Industry News,Sample social media post caption 107,#marketing #socialmedia #AI,47068,46564,3194,64,264,296,1090,649,32838,32908,Brand Awareness
P108,Facebook,2024-06-13,07:10,Video,Product Launch,Sample social media post caption 108,#marketing #socialmedia #AI,87803,73793,222,254,95,468,454,689,39180,39213,Engagement Drive
P109,Instagram,2024-02-20,02:54,Image,Educational,Sample social media post caption 109,#marketing #socialmedia #AI,21412,15133,4910,274,297,248,1133,754,67135,67125,Brand Awareness
P110,LinkedIn,2025-02-18,07:46,Carousel,Educational,Sample social media post caption 110,#marketing #socialmedia #AI,27920,41074,1203,437,23,466,531,684,9858,9967,Brand Awareness
P111,YouTube,2025-04-04,12:07,Image,Industry News,Sample social media post caption 111,#marketing #socialmedia #AI,94053,11193,561,9,99,242,639,935,26632,26670,Organic
P112,Facebook,2025-09-10,02:50,Video,Promotional,Sample social media post caption 112,#marketing #socialmedia #AI,12067,68918,3671,268,164,492,841,521,2049,2101,Lead Generation
P113,Instagram,2024-05-21,11:45,Carousel,Motivational,Sample social media post caption 113,#marketing #socialmedia #AI,57101,65787,906,404,108,258,57,506,10618,10750,Brand Awareness
P114,Facebook,2024-06-22,17:56,Text,Promotional,Sample social media post caption 114,#marketing #socialmedia #AI,48435,48985,3982,218,27,178,1329,742,48566,48729,Summer Campaign
P115,LinkedIn,2024-07-12,17:01,Video,Educational,Sample social media post caption 115,#marketing #socialmedia #AI,77169,17456,2700,218,150,48,231,690,78994,78992,Brand Awareness
P116,Instagram,2025-10-27,14:08,Text,Product Launch,Sample social media post caption 116,#marketing #socialmedia #AI,63351,62913,3888,224,31,324,1634,97,76929,76942,Brand Awareness
P117,Facebook,2024-05-23,15:40,Reel,Motivational,Sample social media post caption 117,#marketing #socialmedia #AI,53440,22857,4569,349,32,149,1083,167,89598,89758,Lead Generation
P118,LinkedIn,2024-01-14,20:19,Video,Promotional,Sample social media post caption 118,#marketing #socialmedia #AI,13902,72742,385,16,30,259,1670,339,99048,99034,Lead Generation
P119,LinkedIn,2024-01-09,19:21,Image,Promotional,Sample social media post caption 119,#marketing #socialmedia #AI,3850,37655,3876,253,62,371,1293,37,53603,53604,Lead Generation
P120,Facebook,2025-07-26,01:31,Video,Industry News,Sample social media post caption 120,#marketing #socialmedia #AI,45404,9059,355,179,253,13,1129,227,79311,79447,Organic
P121,Instagram,2025-08-24,11:14,Reel,Educational,Sample social media post caption 121,#marketing #socialmedia #AI,79048,38857,4245,354,245,462,361,900,5489,5621,Organic
P122,LinkedIn,2025-10-20,17:33,Video,Industry News,Sample social media post caption 122,#marketing #socialmedia #AI,89663,75239,4641,382,187,300,659,195,75130,75203,Lead Generation
P123,Instagram,2025-12-11,02:07,Video,Educational,Sample social media post caption 123,#marketing #socialmedia #AI,10388,45647,4624,18,91,374,997,25,93447,93510,Lead Generation
P124,YouTube,2024-04-07,18:54,Carousel,Educational,Sample social media post caption 124,#marketing #socialmedia #AI,74746,24803,2312,452,126,140,559,569,42562,42666,Organic
P125,Instagram,2025-11-09,21:24,Image,Industry News,Sample social media post caption 125,#marketing #socialmedia #AI,66820,77402,1381,83,157,452,1766,512,38174,38272,Brand Awareness
P126,Facebook,2025-07-10,01:04,Image,Motivational,Sample social media post caption 126,#marketing #socialmedia #AI,10452,29055,1472,182,175,133,927,149,60932,61129,Engagement Drive
P127,Facebook,2024-02-15,00:13,Video,Promotional,Sample social media post caption 127,#marketing #socialmedia #AI,9624,28090,4340,337,42,39,1023,142,43065,43084,Summer Campaign
P128,Instagram,2024-07-13,07:41,Carousel,Motivational,Sample social media post caption 128,#marketing #socialmedia #AI,97474,3384,3470,65,69,271,1808,373,1806,1886,Brand Awareness
P129,YouTube,2025-12-29,16:20,Reel,Motivational,Sample social media post caption 129,#marketing #socialmedia #AI,85236,74234,443,201,283,210,1693,252,27835,27860,Engagement Drive
P130,YouTube,2025-05-28,16:44,Video,Educational,Sample social media post caption 130,#marketing #socialmedia #AI,78147,31549,3603,414,162,27,954,427,14477,14531,Organic
P131,YouTube,2025-04-29,16:26,Carousel,Product Launch,Sample social media post caption 131,#marketing #socialmedia #AI,35352,27712,3008,447,266,37,872,214,6344,6487,Lead Generation
P132,Facebook,2025-06-18,20:33,Reel,Motivational,Sample social media post caption 132,#marketing #socialmedia #AI,77589,65956,3697,348,82,208,302,193,5753,5751,Summer Campaign
P133,LinkedIn,2025-10-24,23:57,Video,Industry News,Sample social media post caption 133,#marketing #socialmedia #AI,87915,13078,2761,283,161,166,1906,108,7008,7199,Organic
P134,LinkedIn,2024-08-19,20:05,Video,Industry News,Sample social media post caption 134,#marketing #socialmedia #AI,16159,39240,442,221,24,331,1465,428,96979,96976,Lead Generation
P135,YouTube,2024-10-29,12:26,Video,Product Launch,Sample social media post caption 135,#marketing #socialmedia #AI,80941,78746,794,19,238,480,509,400,48728,48716,Summer Campaign
P136,Facebook,2024-05-15,21:47,Video,Product Launch,Sample social media post caption 136,#marketing #socialmedia #AI,35452,33212,3924,427,28,352,1353,891,42790,42906,Summer Campaign
P137,Instagram,2024-04-06,13:12,Reel,Educational,Sample social media post caption 137,#marketing #socialmedia #AI,16425,35605,3227,264,237,223,66,735,74595,74686,Lead Generation
P138,Instagram,2025-02-08,18:02,Reel,Industry News,Sample social media post caption 138,#marketing #socialmedia #AI,98428,74284,1727,181,119,315,1323,522,26871,26924,Organic
P139,LinkedIn,2024-07-08,10:38,Video,Product Launch,Sample social media post caption 139,#marketing #socialmedia #AI,1156,32943,2899,167,288,251,567,779,3183,3337,Summer Campaign
P140,LinkedIn,2025-01-05,00:36,Carousel,Educational,Sample social media post caption 140,#marketing #socialmedia #AI,38450,15281,1012,254,275,105,1196,830,7815,7810,Lead Generation
P141,LinkedIn,2024-08-07,11:04,Video,Promotional,Sample social media post caption 141,#marketing #socialmedia #AI,61730,55615,2314,232,159,249,1818,436,30034,30172,Brand Awareness
P142,YouTube,2024-01-21,02:08,Image,Educational,Sample social media post caption 142,#marketing #socialmedia #AI,29508,58749,2973,128,242,249,592,328,83444,83474,Brand Awareness
P143,Instagram,2025-01-31,00:15,Carousel,Product Launch,Sample social media post caption 143,#marketing #socialmedia #AI,36445,55069,3287,353,264,289,262,381,78122,78150,Brand Awareness
P144,LinkedIn,2025-01-05,16:47,Video,Product Launch,Sample social media post caption 144,#marketing #socialmedia #AI,89055,24788,1759,53,23,191,154,613,8050,8155,Summer Campaign
P145,Facebook,2025-09-08,23:45,Image,Industry News,Sample social media post caption 145,#marketing #socialmedia #AI,69176,56639,2137,397,17,444,113,227,6601,6729,Engagement Drive
P146,LinkedIn,2024-12-02,01:06,Carousel,Product Launch,Sample social media post caption 146,#marketing #socialmedia #AI,49607,53504,4849,439,65,331,1231,803,5030,5119,Engagement Drive
P147,Instagram,2025-04-16,01:57,Reel,Industry News,Sample social media post caption 147,#marketing #socialmedia #AI,4215,23308,2608,111,58,275,281,790,56546,56673,Organic
P148,YouTube,2024-05-11,07:19,Carousel,Industry News,Sample social media post caption 148,#marketing #socialmedia #AI,77730,61499,1296,112,259,12,1961,544,63397,63389,Engagement Drive
P149,YouTube,2025-10-02,08:42,Carousel,Motivational,Sample social media post caption 149,#marketing #socialmedia #AI,71490,18325,371,232,6,347,571,973,17349,17419,Brand Awareness
P150,Facebook,2025-11-03,23:08,Image,Industry News,Sample social media post caption 150,#marketing #socialmedia #AI,51325,2820,3935,127,188,348,693,194,97009,97138,Summer Campaign
P151,Instagram,2024-02-03,21:38,Reel,Industry News,Sample social media post caption 151,#marketing #socialmedia #AI,48296,21908,2706,103,106,57,887,81,28906,28891,Lead Generation
P152,YouTube,2025-12-26,18:36,Image,Promotional,Sample social media post caption 152,#marketing #socialmedia #AI,41960,38973,2939,398,224,264,1029,267,67700,67761,Summer Campaign
P153,YouTube,2024-11-15,08:53,Reel,Industry News,Sample social media post caption 153,#marketing #socialmedia #AI,95543,25094,820,101,63,417,817,697,24186,24384,Summer Campaign
P154,Facebook,2025-06-13,10:27,Video,Motivational,Sample social media post caption 154,#marketing #socialmedia #AI,81118,65881,4880,294,183,400,30,471,52102,52217,Lead Generation
P155,YouTube,2024-05-28,11:37,Reel,Product Launch,Sample social media post caption 155,#marketing #socialmedia #AI,4143,48536,3873,461,261,12,1986,749,84714,84835,Lead Generation
P156,Facebook,2024-09-25,20:35,Image,Educational,Sample social media post caption 156,#marketing #socialmedia #AI,51685,3367,3748,180,97,32,1607,954,76073,76189,Lead Generation
P157,LinkedIn,2024-01-14,13:52,Video,Educational,Sample social media post caption 157,#marketing #socialmedia #AI,93461,8357,2242,196,15,62,1223,85,99402,99570,Brand Awareness
P158,YouTube,2025-03-13,05:42,Text,Industry News,Sample social media post caption 158,#marketing #socialmedia #AI,15811,516,3699,188,212,354,875,942,70121,70183,Brand Awareness
P159,Instagram,2024-07-08,21:15,Image,Motivational,Sample social media post caption 159,#marketing #socialmedia #AI,35012,15025,2414,103,68,240,1154,807,94204,94284,Summer Campaign
P160,Instagram,2024-06-07,15:20,Video,Motivational,Sample social media post caption 160,#marketing #socialmedia #AI,89684,71495,3315,89,225,274,1380,339,8543,8690,Lead Generation
P161,YouTube,2024-10-08,02:04,Video,Motivational,Sample social media post caption 161,#marketing #socialmedia #AI,27521,33160,3460,444,176,66,1699,238,54973,55159,Summer Campaign
