Post_ID,Platform,Post_Date,Post_Time,Post_Type,Content_Theme,Caption,Hashtags,Impressions,Reach,Likes,Comments,Shares,Saves,Profile_Visits,Link_Clicks,Followers_Before,Followers_After,Campaign_Name,CTR,Total_Engagement,Engagement_Rate,Virality_Score,Follower_Growth,Sentiment_Score,AI_Content_Score,Predicted_Content_Type
P12,Instagram,2025-06-26,02:14,Reel,Industry News,Sample social media post caption 12,#marketing #socialmedia #AI,58681,44110,2807,97,269,2,1609,219,82864,83058,Engagement Drive,0.3732042739557948,3175,7.197914305146225,0.6098390387667195,194,0.03333333333333333,45,Customer Story
P13,YouTube,2024-11-06,13:39,Reel,Promotional,Sample social media post caption 13,#marketing #socialmedia #AI,38917,20416,1214,377,130,229,544,90,76438,76579,Organic,0.2312614024719274,1950,9.551332288401252,0.6367554858934169,141,0.03333333333333333,45,Customer Story
P14,Instagram,2024-08-31,04:27,Image,Industry News,Sample social media post caption 14,#marketing #socialmedia #AI,15354,15724,1154,303,138,251,799,178,83213,83243,Organic,1.1593070209717338,1846,11.740015263291784,0.8776392775375224,30,0.03333333333333333,45,Customer Story
P15,Facebook,2025-01-25,21:22,Text,Product Launch,Sample social media post caption 15,#marketing #socialmedia #AI,51013,9985,2038,309,226,74,1398,245,76534,76707,Organic,0.480269735165546,2647,26.509764646970456,2.2633950926389583,173,0.03333333333333333,45,Customer Story
P16,Facebook,2024-04-11,11:16,Text,Product Launch,Sample social media post caption 16,#marketing #socialmedia #AI,90501,74798,1024,213,189,483,1183,130,83760,83856,Brand Awareness,0.1436448216041811,1909,2.5522072782694725,0.2526805529559614,96,0.03333333333333333,45,Customer Story
P17,Instagram,2025-04-13,06:49,Video,Motivational,Sample social media post caption 17,#marketing #socialmedia #AI,20009,51245,2448,323,279,13,762,919,44389,44585,Summer Campaign,4.592933180068969,3063,5.977168504244316,0.5444433603278368,196,0.03333333333333333,45,Customer Story
P18,LinkedIn,2024-12-11,17:13,Video,Promotional,Sample social media post caption 18,#marketing #socialmedia #AI,20005,7995,1333,19,96,418,1355,972,64543,64567,Lead Generation,4.858785303674082,1866,23.339587242026266,1.200750469043152,24,0.03333333333333333,45,Customer Story
P19,Facebook,2025-12-18,13:21,Carousel,Promotional,Sample social media post caption 19,#marketing #socialmedia #AI,67753,77216,2424,27,66,398,1562,792,2662,2791,Engagement Drive,1.1689519283278968,2915,3.7751243265644425,0.0854745130542892,129,0.03333333333333333,45,Customer Story
P20,LinkedIn,2024-10-18,13:53,Image,Educational,Sample social media post caption 20,#marketing #socialmedia #AI,23656,79700,3583,124,160,383,591,186,98474,98654,Summer Campaign,0.7862698681095706,4250,5.33249686323714,0.2007528230865746,180,0.03333333333333333,45,Customer Story
P21,Facebook,2025-10-09,23:22,Reel,Educational,Sample social media post caption 21,#marketing #socialmedia #AI,24950,72425,4287,21,1,265,861,78,65029,65026,Brand Awareness,0.312625250501002,4574,6.315498791853642,0.0013807386952019,-3,0.03333333333333333,45,Customer Story
P22,YouTube,2024-08-23,17:53,Carousel,Product Launch,Sample social media post caption 22,#marketing #socialmedia #AI,36194,57168,3796,29,37,97,457,173,72982,73013,Organic,0.4779797756534232,3959,6.925202910719283,0.0647215225300867,31,0.03333333333333333,45,Customer Story
P23,LinkedIn,2024-02-28,06:05,Reel,Educational,Sample social media post caption 23,#marketing #socialmedia #AI,9196,43979,226,266,218,343,1220,379,81431,81545,Brand Awareness,4.1213571117877335,1053,2.3943245639964528,0.4956911253098069,114,0.03333333333333333,45,Customer Story
P24,LinkedIn,2024-07-08,14:14,Video,Motivational,Sample social media post caption 24,#marketing #socialmedia #AI,47046,51986,1460,487,205,437,1935,195,21363,21425,Brand Awareness,0.4144879479658207,2589,4.98018697341592,0.3943369368676181,62,0.03333333333333333,45,Customer Story
P25,YouTube,2025-02-24,03:47,Image,Product Launch,Sample social media post caption 25,#marketing #socialmedia #AI,64941,856,2353,225,271,109,30,203,30624,30768,Lead Generation,0.3125914291433763,2958,345.5607476635514,31.6588785046729,144,0.03333333333333333,45,Customer Story
P26,Facebook,2025-10-08,01:49,Video,Educational,Sample social media post caption 26,#marketing #socialmedia #AI,26875,26136,1098,414,45,298,644,170,39732,39829,Organic,0.6325581395348837,1855,7.097490052035507,0.1721763085399449,97,0.03333333333333333,45,Customer Story
P27,Facebook,2024-05-21,18:12,Image,Promotional,Sample social media post caption 27,#marketing #socialmedia #AI,35230,67654,1225,135,97,423,344,522,32725,32925,Organic,1.481691739994323,1880,2.7788453010908447,0.1433765926626659,200,0.03333333333333333,45,Customer Story
P28,Instagram,2025-03-10,07:42,Text,Promotional,Sample social media post caption 28,#marketing #socialmedia #AI,11126,4586,1976,135,297,457,563,676,26921,26973,Lead Generation,6.075858349811253,2865,62.47274313126909,6.476232010466637,52,0.03333333333333333,45,Customer Story
P29,Facebook,2025-06-22,11:44,Image,Promotional,Sample social media post caption 29,#marketing #socialmedia #AI,44348,35429,191,52,207,361,872,811,2529,2526,Lead Generation,1.828718318751691,811,2.2890852126788785,0.5842671258008976,-3,0.03333333333333333,45,Customer Story
P30,Facebook,2024-04-08,16:48,Carousel,Educational,Sample social media post caption 30,#marketing #socialmedia #AI,56078,16587,3847,6,137,207,1072,927,61916,61934,Brand Awareness,1.6530546738471417,4197,25.302948091879184,0.8259480315910049,18,0.03333333333333333,45,Customer Story
P31,Facebook,2024-12-16,00:26,Reel,Product Launch,Sample social media post caption 31,#marketing #socialmedia #AI,56137,6806,302,377,187,65,1293,61,94150,94306,Lead Generation,0.1086627358070434,931,13.679106670584778,2.747575668527769,156,0.03333333333333333,45,Customer Story
P32,Instagram,2025-07-17,16:58,Video,Product Launch,Sample social media post caption 32,#marketing #socialmedia #AI,13058,71671,2772,63,175,406,538,998,53188,53286,Summer Campaign,7.642824322254557,3416,4.766223437652608,0.2441712826666294,98,0.03333333333333333,45,Customer Story
P33,Instagram,2024-12-07,08:21,Video,Product Launch,Sample social media post caption 33,#marketing #socialmedia #AI,65580,71222,3499,107,123,172,948,562,15304,15501,Summer Campaign,0.8569685879841415,3901,5.477240178596501,0.172699446800146,197,0.03333333333333333,45,Customer Story
P34,YouTube,2025-11-15,05:32,Reel,Industry News,Sample social media post caption 34,#marketing #socialmedia #AI,23816,22172,3576,8,63,237,1124,781,31277,31319,Lead Generation,3.279308028216325,3884,17.517589752841424,0.284142161284503,42,0.03333333333333333,45,Customer Story
P35,YouTube,2024-08-07,05:45,Carousel,Motivational,Sample social media post caption 35,#marketing #socialmedia #AI,80979,24803,2649,94,151,255,437,570,73933,74061,Summer Campaign,0.7038861927166302,3149,12.696044833286296,0.6087973229044873,128,0.03333333333333333,45,Customer Story
P36,Instagram,2025-01-02,11:26,Reel,Educational,Sample social media post caption 36,#marketing #socialmedia #AI,93107,39015,138,283,151,150,1333,59,69952,70026,Organic,0.0633679530003114,722,1.850570293476868,0.3870306292451621,74,0.03333333333333333,45,Customer Story
P37,Instagram,2025-08-13,04:14,Carousel,Product Launch,Sample social media post caption 37,#marketing #socialmedia #AI,39205,36159,761,457,134,77,1908,377,47303,47495,Organic,0.961612039280704,1429,3.9519898227273984,0.3705854697309106,192,0.03333333333333333,45,Customer Story
P38,Facebook,2025-12-31,21:44,Video,Industry News,Sample social media post caption 38,#marketing #socialmedia #AI,95172,22101,3756,237,116,333,316,821,39294,39489,Lead Generation,0.8626486781826587,4442,20.09863807067553,0.5248631283652323,195,0.03333333333333333,45,Customer Story
P39,Facebook,2025-10-11,01:44,Carousel,Industry News,Sample social media post caption 39,#marketing #socialmedia #AI,39939,56613,606,353,132,220,1808,448,73102,73294,Organic,1.1217106086782342,1311,2.315722537226432,0.233161994594881,192,0.03333333333333333,45,Customer Story
P40,Facebook,2025-09-25,00:09,Image,Industry News,Sample social media post caption 40,#marketing #socialmedia #AI,42199,76733,2346,492,125,390,1670,846,4142,4235,Summer Campaign,2.004786843290125,3353,4.369697522578291,0.1629025321569598,93,0.03333333333333333,45,Customer Story
P41,Instagram,2025-12-05,11:33,Text,Promotional,Sample social media post caption 41,#marketing #socialmedia #AI,8147,70780,4563,145,139,315,642,49,35468,35620,Engagement Drive,0.6014483859089236,5162,7.293020627295846,0.1963831590844871,152,0.03333333333333333,45,Customer Story
P42,YouTube,2025-10-17,02:37,Video,Motivational,Sample social media post caption 42,#marketing #socialmedia #AI,35236,69113,2434,463,232,44,461,246,68568,68689,Brand Awareness,0.6981496197071178,3173,4.591032077901408,0.3356821437356214,121,0.03333333333333333,45,Customer Story
P43,Facebook,2024-01-25,00:54,Reel,Industry News,Sample social media post caption 43,#marketing #socialmedia #AI,49026,46774,732,407,65,190,1807,292,28467,28489,Summer Campaign,0.5956023334557174,1394,2.9802881942959765,0.1389660922734852,22,0.03333333333333333,45,Customer Story
P44,YouTube,2024-02-21,19:11,Reel,Educational,Sample social media post caption 44,#marketing #socialmedia #AI,3272,58235,4415,433,135,195,779,0,52067,52085,Brand Awareness,0.0,5178,8.891560058384133,0.231819352622993,18,0.03333333333333333,45,Customer Story
P45,Facebook,2024-06-01,10:18,Text,Industry News,Sample social media post caption 45,#marketing #socialmedia #AI,71958,31187,3037,359,239,392,508,395,84526,84622,Brand Awareness,0.5489313210483894,4027,12.912431461827042,0.7663449514220668,96,0.03333333333333333,45,Customer Story
P46,YouTube,2024-09-02,01:23,Image,Motivational,Sample social media post caption 46,#marketing #socialmedia #AI,39275,8302,434,173,79,372,1696,56,62809,62936,Organic,0.1425843411839592,1058,12.743917128402796,0.951577933028186,127,0.03333333333333333,45,Customer Story
P47,YouTube,2025-01-24,00:25,Text,Educational,Sample social media post caption 47,#marketing #socialmedia #AI,94345,56464,190,40,247,226,1929,860,45068,45162,Lead Generation,0.9115480417616196,703,1.245041088126948,0.4374468688013601,94,0.03333333333333333,45,Customer Story
P48,LinkedIn,2024-01-04,14:12,Carousel,Motivational,Sample social media post caption 48,#marketing #socialmedia #AI,62466,25822,752,429,211,58,1957,570,75128,75301,Organic,0.912496398040534,1450,5.615366741538224,0.8171326775617691,173,0.03333333333333333,45,Customer Story
P49,LinkedIn,2025-11-10,10:44,Carousel,Promotional,Sample social media post caption 49,#marketing #socialmedia #AI,22388,47619,567,11,209,222,1260,67,27622,27609,Organic,0.2992674647132392,1009,2.118902118902119,0.4389004389004389,-13,0.03333333333333333,45,Customer Story
P50,Instagram,2025-01-25,00:57,Text,Motivational,Sample social media post caption 50,#marketing #socialmedia #AI,18563,27711,1272,132,290,141,765,240,16424,16432,Lead Generation,1.2928944674890912,1835,6.621919093500776,1.0465158240409946,8,0.03333333333333333,45,Customer Story
P51,YouTube,2024-12-27,10:35,Carousel,Industry News,Sample social media post caption 51,#marketing #socialmedia #AI,62041,6997,4871,289,255,181,380,505,39801,39829,Brand Awareness,0.8139778533550394,5596,79.97713305702445,3.644419036730028,28,0.03333333333333333,45,Customer Story
P52,LinkedIn,2024-05-24,04:28,Carousel,Promotional,Sample social media post caption 52,#marketing #socialmedia #AI,44863,12880,3837,57,166,293,1817,194,22340,22527,Lead Generation,0.4324276129549963,4353,33.796583850931675,1.2888198757763976,187,0.03333333333333333,45,Customer Story
P53,Facebook,2025-12-01,22:28,Image,Product Launch,Sample social media post caption 53,#marketing #socialmedia #AI,20063,33370,3544,55,77,152,587,503,89961,90147,Organic,2.5071026267258136,3828,11.47138148037159,0.2307461792028768,186,0.03333333333333333,45,Customer Story
P54,Facebook,2025-08-31,03:20,Video,Promotional,Sample social media post caption 54,#marketing #socialmedia #AI,18816,60009,1981,105,150,115,174,486,79773,79833,Lead Generation,2.5829081632653064,2351,3.917745671482611,0.2499625056241563,60,0.03333333333333333,45,Customer Story
P55,Instagram,2024-05-24,22:00,Text,Promotional,Sample social media post caption 55,#marketing #socialmedia #AI,81072,75920,2616,170,101,439,791,792,17085,17088,Summer Campaign,0.9769094138543518,3326,4.380927291886196,0.1330347734457323,3,0.03333333333333333,45,Customer Story
P56,YouTube,2024-09-12,13:48,Carousel,Motivational,Sample social media post caption 56,#marketing #socialmedia #AI,63335,22353,1057,244,143,106,959,74,56915,57103,Engagement Drive,0.1168390305518276,1550,6.9341922784413725,0.639735158591688,188,0.03333333333333333,45,Customer Story
P57,Facebook,2024-11-05,13:28,Carousel,Product Launch,Sample social media post caption 57,#marketing #socialmedia #AI,46008,24298,4206,150,274,441,1591,265,21861,22013,Brand Awareness,0.5759867849069727,5071,20.870030455181496,1.1276648283809367,152,0.03333333333333333,45,Customer Story
P58,YouTube,2025-02-01,20:22,Video,Educational,Sample social media post caption 58,#marketing #socialmedia #AI,48261,1430,3652,5,158,402,1717,368,55150,55175,Brand Awareness,0.76252046165641,4217,294.8951048951049,11.048951048951048,25,0.03333333333333333,45,Customer Story
P59,YouTube,2024-10-12,18:00,Text,Industry News,Sample social media post caption 59,#marketing #socialmedia #AI,45828,56527,4586,156,55,76,1270,67,87266,87368,Summer Campaign,0.1461988304093567,4873,8.620659154032587,0.0972986360500291,102,0.03333333333333333,45,Customer Story
P60,Instagram,2024-03-24,11:30,Reel,Educational,Sample social media post caption 60,#marketing #socialmedia #AI,85777,53188,90,284,270,53,708,552,78085,78186,Brand Awareness,0.6435291511710598,697,1.3104459652553209,0.5076333007445288,101,0.03333333333333333,45,Customer Story
P61,LinkedIn,2025-09-19,15:35,Image,Promotional,Sample social media post caption 61,#marketing #socialmedia #AI,89600,2160,226,376,81,454,237,553,92761,92899,Brand Awareness,0.6171875,1137,52.63888888888889,3.75,138,0.03333333333333333,45,Customer Story
P62,Instagram,2025-08-13,06:34,Reel,Educational,Sample social media post caption 62,#marketing #socialmedia #AI,87077,62914,1304,219,35,49,1927,611,66018,66156,Engagement Drive,0.7016778253729458,1607,2.5542804463235527,0.0556314969641097,138,0.03333333333333333,45,Customer Story
P63,YouTube,2025-03-14,13:17,Carousel,Product Launch,Sample social media post caption 63,#marketing #socialmedia #AI,67476,39919,4733,320,168,410,1865,141,95539,95646,Summer Campaign,0.2089631869109016,5631,14.106064781181892,0.4208522257571582,107,0.03333333333333333,45,Customer Story
P64,YouTube,2024-05-07,07:58,Reel,Product Launch,Sample social media post caption 64,#marketing #socialmedia #AI,80432,72385,1945,412,130,102,786,371,86914,86958,Engagement Drive,0.4612592003182812,2589,3.5767078814671547,0.1795952200041445,44,0.03333333333333333,45,Customer Story
P65,YouTube,2024-09-21,20:28,Reel,Promotional,Sample social media post caption 65,#marketing #socialmedia #AI,37765,62140,4363,389,262,198,295,950,51201,51329,Organic,2.5155567324242023,5212,8.387512069520438,0.4216285806243965,128,0.03333333333333333,45,Customer Story
P66,YouTube,2024-09-29,02:04,Reel,Motivational,Sample social media post caption 66,#marketing #socialmedia #AI,55060,61873,1025,139,228,96,1499,999,58813,58936,Organic,1.8143843080276063,1488,2.404926219837409,0.3684967594912159,123,0.03333333333333333,45,Customer Story
P67,LinkedIn,2024-09-02,11:54,Carousel,Motivational,Sample social media post caption 67,#marketing #socialmedia #AI,58608,67424,4604,167,298,381,1988,464,84573,84712,Brand Awareness,0.7917007917007918,5450,8.083175130517322,0.4419791172282867,139,0.03333333333333333,45,Customer Story
P68,Facebook,2025-03-02,09:21,Video,Motivational,Sample social media post caption 68,#marketing #socialmedia #AI,73551,46578,1003,246,71,28,1380,143,65134,65153,Organic,0.1944229174314421,1348,2.894070161878999,0.1524324788526772,19,0.03333333333333333,45,Customer Story
P69,YouTube,2025-10-16,10:41,Text,Motivational,Sample social media post caption 69,#marketing #socialmedia #AI,75957,12819,3369,278,225,441,237,50,54303,54288,Engagement Drive,0.0658267177481996,4313,33.64537015367814,1.755207114439504,-15,0.03333333333333333,45,Customer Story
P70,Facebook,2024-05-26,00:32,Video,Industry News,Sample social media post caption 70,#marketing #socialmedia #AI,28572,45542,4331,78,82,19,1203,352,57494,57575,Lead Generation,1.23197536049279,4510,9.902946730490536,0.1800535769180097,81,0.03333333333333333,45,Customer Story
P71,YouTube,2025-02-05,01:12,Image,Educational,Sample social media post caption 71,#marketing #socialmedia #AI,57232,17311,1252,212,208,339,213,963,20178,20158,Summer Campaign,1.682625104836455,2011,11.61689099416556,1.20154814857605,-20,0.03333333333333333,45,Customer Story
P72,LinkedIn,2025-12-02,01:45,Text,Motivational,Sample social media post caption 72,#marketing #socialmedia #AI,96841,66134,4307,110,106,51,400,587,80055,80136,Engagement Drive,0.6061482223438419,4574,6.916260924789065,0.1602806423322345,81,0.03333333333333333,45,Customer Story
P73,YouTube,2025-10-30,13:01,Carousel,Educational,Sample social media post caption 73,#marketing #socialmedia #AI,62315,62738,3207,478,47,498,1205,312,22862,23032,Lead Generation,0.5006820187755756,4230,6.742325225541139,0.0749147247282348,170,0.03333333333333333,45,Customer Story
P74,YouTube,2025-04-09,22:31,Text,Educational,Sample social media post caption 74,#marketing #socialmedia #AI,74078,15877,4769,145,291,443,220,335,84780,84768,Organic,0.4522260320203029,5648,35.57347105876425,1.8328399571707503,-12,0.03333333333333333,45,Customer Story
P75,LinkedIn,2025-03-23,15:36,Image,Industry News,Sample social media post caption 75,#marketing #socialmedia #AI,7362,47077,570,488,265,104,1344,406,88974,89109,Summer Campaign,5.514805759304537,1427,3.0312041973787625,0.5629075769484038,135,0.03333333333333333,45,Customer Story
P76,YouTube,2024-12-17,23:00,Carousel,Product Launch,Sample social media post caption 76,#marketing #socialmedia #AI,6487,12427,355,285,79,480,1881,535,49822,49985,Brand Awareness,8.247263758285802,1199,9.648346342641023,0.6357125613583327,163,0.03333333333333333,45,Customer Story
P77,Instagram,2025-06-10,11:17,Text,Educational,Sample social media post caption 77,#marketing #socialmedia #AI,48021,53183,4542,224,112,266,1509,751,77918,78059,Engagement Drive,1.5638991274650675,5144,9.67226369328545,0.2105936107402741,141,0.03333333333333333,45,Customer Story
P78,Facebook,2024-12-21,15:17,Video,Product Launch,Sample social media post caption 78,#marketing #socialmedia #AI,35364,30838,1280,388,21,190,519,968,33553,33723,Brand Awareness,2.737246917769483,1879,6.093131850314546,0.06809780141384,170,0.03333333333333333,45,Customer Story
P79,Facebook,2024-07-12,03:23,Image,Promotional,Sample social media post caption 79,#marketing #socialmedia #AI,80244,36684,3716,341,3,495,745,908,45230,45244,Lead Generation,1.131548776232491,4555,12.416857485552285,0.0081779522407589,14,0.03333333333333333,45,Customer Story
P80,LinkedIn,2025-10-19,04:56,Text,Industry News,Sample social media post caption 80,#marketing #socialmedia #AI,87819,4725,1436,275,183,99,89,272,54339,54532,Summer Campaign,0.3097279631970303,1993,42.17989417989418,3.8730158730158735,193,0.03333333333333333,45,Customer Story
P81,LinkedIn,2024-12-03,04:01,Reel,Educational,Sample social media post caption 81,#marketing #socialmedia #AI,82979,74163,3539,445,178,158,1596,288,35081,35109,Organic,0.3470757661577025,4320,5.825007079001659,0.2400118657551609,28,0.03333333333333333,45,Customer Story
P82,YouTube,2025-04-13,03:14,Reel,Educational,Sample social media post caption 82,#marketing #socialmedia #AI,37003,22815,4047,147,236,209,1819,225,40944,41128,Lead Generation,0.6080588060427533,4639,20.333114179268023,1.034407188253342,184,0.03333333333333333,45,Customer Story
P83,YouTube,2025-11-11,22:54,Reel,Motivational,Sample social media post caption 83,#marketing #socialmedia #AI,68360,15827,1449,88,239,27,1471,856,62672,62688,Brand Awareness,1.2521942656524283,1803,11.391925191129085,1.510077715296645,16,0.03333333333333333,45,Customer Story
P84,YouTube,2024-07-26,22:18,Text,Educational,Sample social media post caption 84,#marketing #socialmedia #AI,72015,23918,4408,56,117,227,78,370,88693,88852,Lead Generation,0.5137818510032632,4808,20.10201521866377,0.489171335395936,159,0.03333333333333333,45,Customer Story
P85,Instagram,2025-09-05,14:50,Carousel,Educational,Sample social media post caption 85,#marketing #socialmedia #AI,92339,1120,1660,379,48,385,1279,490,79986,80146,Brand Awareness,0.5306533534043036,2472,220.7142857142857,4.285714285714286,160,0.03333333333333333,45,Customer Story
P86,Facebook,2025-09-07,11:07,Text,Educational,Sample social media post caption 86,#marketing #socialmedia #AI,97321,43045,1710,273,278,297,764,103,61801,61966,Organic,0.1058353284491527,2558,5.942618190266001,0.6458357532814496,165,0.03333333333333333,45,Customer Story
P87,Facebook,2025-06-01,17:06,Image,Promotional,Sample social media post caption 87,#marketing #socialmedia #AI,9098,31261,977,263,31,250,633,882,14908,14916,Lead Generation,9.694438338096283,1521,4.865487348453344,0.0991650938869517,8,0.03333333333333333,45,Customer Story
P88,Facebook,2024-04-05,21:38,Image,Industry News,Sample social media post caption 88,#marketing #socialmedia #AI,64012,53962,4404,400,61,45,573,787,96197,96213,Engagement Drive,1.2294569768168468,4910,9.0989955894889,0.1130425113969089,16,0.03333333333333333,45,Customer Story
P89,YouTube,2025-06-02,16:59,Text,Motivational,Sample social media post caption 89,#marketing #socialmedia #AI,8030,6881,4908,405,158,365,21,475,73482,73616,Organic,5.915317559153175,5836,84.81325388751635,2.2961778811219298,134,0.03333333333333333,45,Customer Story
P90,Instagram,2025-09-25,04:40,Carousel,Educational,Sample social media post caption 90,#marketing #socialmedia #AI,6240,10239,623,120,2,478,987,952,95025,95040,Brand Awareness,15.256410256410255,1223,11.94452583260084,0.0195331575349155,15,0.03333333333333333,45,Customer Story
P91,Facebook,2025-12-08,00:25,Carousel,Educational,Sample social media post caption 91,#marketing #socialmedia #AI,13975,45867,3973,103,134,58,1437,355,13004,12990,Organic,2.540250447227192,4268,9.305164933394378,0.2921490396145377,-14,0.03333333333333333,45,Customer Story
P92,LinkedIn,2024-12-19,21:52,Carousel,Motivational,Sample social media post caption 92,#marketing #socialmedia #AI,6950,30182,3868,284,269,147,1609,219,96791,96904,Summer Campaign,3.1510791366906474,4568,15.134848585249486,0.8912596912066796,113,0.03333333333333333,45,Customer Story
P93,YouTube,2025-09-30,17:24,Image,Motivational,Sample social media post caption 93,#marketing #socialmedia #AI,22683,75355,1198,273,224,277,978,12,93985,94042,Summer Campaign,0.0529030551514349,1972,2.6169464534536524,0.2972596377148165,57,0.03333333333333333,45,Customer Story
P94,Facebook,2024-08-13,07:40,Video,Promotional,Sample social media post caption 94,#marketing #socialmedia #AI,90319,10298,2362,214,96,239,548,808,25409,25527,Summer Campaign,0.8946068933447006,2911,28.26762478151097,0.9322198485142744,118,0.03333333333333333,45,Customer Story
P95,Instagram,2025-09-25,05:11,Text,Promotional,Sample social media post caption 95,#marketing #socialmedia #AI,50906,39043,2455,187,145,403,1989,378,68490,68588,Engagement Drive,0.7425450830943308,3190,8.170478702968522,0.3713853955894782,98,0.03333333333333333,45,Customer Story
P96,Instagram,2025-04-05,11:45,Carousel,Product Launch,Sample social media post caption 96,#marketing #socialmedia #AI,25309,7892,3113,499,114,403,1445,30,71060,71181,Lead Generation,0.1185349085305622,4129,52.31880385200203,1.444500760263558,121,0.03333333333333333,45,Customer Story
P97,Facebook,2024-12-15,03:20,Reel,Motivational,Sample social media post caption 97,#marketing #socialmedia #AI,51579,10235,1799,453,151,335,965,374,36280,36289,Brand Awareness,0.7251013009170398,2738,26.75134342940889,1.4753297508549097,9,0.03333333333333333,45,Customer Story
P98,YouTube,2025-04-21,04:49,Text,Motivational,Sample social media post caption 98,#marketing #socialmedia #AI,41449,50700,1403,252,289,23,1500,340,67542,67597,Organic,0.8202851697266521,1967,3.8796844181459567,0.5700197238658777,55,0.03333333333333333,45,Customer Story
P99,LinkedIn,2025-12-17,10:25,Carousel,Motivational,Sample social media post caption 99,#marketing #socialmedia #AI,41008,32481,3944,411,111,469,1796,981,43636,43715,Organic,2.3922161529457666,4935,15.193497737138632,0.3417382469751547,79,0.03333333333333333,45,Customer Story
P100,Facebook,2025-08-21,12:21,Image,Promotional,Sample social media post caption 100,#marketing #socialmedia #AI,51091,37719,4413,292,284,341,614,940,52216,52294,Engagement Drive,1.8398543774833145,5330,14.130809406399958,0.7529361860070521,78,0.03333333333333333,45,Customer Story
P101,Instagram,2024-04-10,15:09,Reel,Educational,Sample social media post caption 101,#marketing #socialmedia #AI,49177,60641,4015,495,133,58,948,389,21002,21058,Engagement Drive,0.7910201923663502,4701,7.752180867729754,0.2193235599676786,56,0.03333333333333333,45,Customer Story
P102,Facebook,2025-09-08,06:48,Reel,Educational,Sample social media post caption 102,#marketing #socialmedia #AI,96674,36722,2797,378,265,397,1681,379,89199,89218,Organic,0.3920392246105467,3837,10.448777299711344,0.7216382549970045,19,0.03333333333333333,45,Customer Story
